epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.906,1.11387,3.50961,0.01634,0.81121,0.73421,0.80036,0.56937,1.14204,2.24425,0.02044,0.000665298,0.000665298,0.000665298
2,374.123,1.24005,1.34051,0.01887,0.81523,0.77407,0.83356,0.57902,1.21558,1.08137,0.02141,0.00130559,0.00130559,0.00130559
3,540.821,1.26475,1.13396,0.01864,0.87248,0.82281,0.8598,0.62299,1.10295,0.80325,0.01767,0.00191949,0.00191949,0.00191949
4,705.774,1.25179,1.04467,0.0184,0.866,0.79933,0.85794,0.5969,1.14391,0.81417,0.01856,0.0018812,0.0018812,0.0018812
5,872.12,1.21926,0.9645,0.01791,0.86947,0.83558,0.88433,0.65555,1.02366,0.71147,0.01591,0.0018416,0.0018416,0.0018416
6,1038.22,1.18512,0.96459,0.01743,0.88627,0.83333,0.88146,0.64672,1.08639,0.67409,0.01638,0.001802,0.001802,0.001802
7,1203.11,1.16427,0.93191,0.01666,0.9115,0.83122,0.89585,0.66964,1.00431,0.63744,0.01511,0.0017624,0.0017624,0.0017624
8,1367.34,1.13647,0.86867,0.01611,0.91402,0.85789,0.90369,0.68062,0.98398,0.58319,0.01509,0.0017228,0.0017228,0.0017228
9,1532.89,1.10833,0.85354,0.01575,0.90776,0.86332,0.89947,0.65393,1.03531,0.64516,0.01683,0.0016832,0.0016832,0.0016832
10,1697.73,1.10231,0.82876,0.01535,0.9287,0.86316,0.91379,0.70286,0.9191,0.55961,0.01417,0.0016436,0.0016436,0.0016436
11,1862.79,1.08289,0.81473,0.01546,0.9105,0.87454,0.90819,0.7126,0.90694,0.53947,0.01401,0.001604,0.001604,0.001604
12,2027.08,1.07353,0.80982,0.01481,0.91372,0.84533,0.9058,0.66758,1.03659,0.58793,0.01481,0.0015644,0.0015644,0.0015644
13,2190.43,1.05722,0.80789,0.01477,0.92268,0.8614,0.91193,0.69951,0.94439,0.56318,0.01465,0.0015248,0.0015248,0.0015248
